,date,novelty,transience,resonance,nsigma,tsigma,rsigma
0,2019-12-06T00:00:00Z,0.0,0.31947785184348765,0.0,0.0,0.010507961471008617,0.0
1,2019-12-13T00:00:00Z,0.0,0.31864381962282956,0.0,0.0,0.02127420916637096,0.0
2,2019-12-20T00:00:00Z,0.0,0.33435825539240643,0.0,0.0,0.02634202909040634,0.0
3,2019-12-27T00:00:00Z,0.0,0.3447589306724575,0.0,0.0,0.020900219188574463,0.0
4,2020-01-03T00:00:00Z,0.0,0.32560788477714536,0.0,0.0,0.017204292020468477,0.0
5,2020-01-10T00:00:00Z,0.0,0.3635192011246557,0.0,0.0,0.02029830615477867,0.0
6,2020-01-17T00:00:00Z,0.0,0.33568326970007956,0.0,0.0,0.019365242372508695,0.0
7,2020-01-24T00:00:00Z,0.3467080327105192,0.3396307946867445,0.00707723802377469,0.018782394924885284,0.022955065463361107,0.020868730194123195
8,2020-01-31T00:00:00Z,0.3502574136508903,0.3485657861355067,0.001691627515383598,0.013056711848173565,0.028937252695837894,0.020996982272005728
9,2020-02-07T00:00:00Z,0.3618719122010227,0.36730133786053315,-0.005429425659510434,0.012175092998741789,0.016411356497818268,0.014293224748280028
10,2020-02-14T00:00:00Z,0.3595704075062153,0.34787808030308703,0.011692327203128239,0.023477841403492936,0.03497308449001942,0.02922546294675618
11,2020-02-21T00:00:00Z,0.3385519381813399,0.335709685337877,0.0028422528434629,0.015436429000674514,0.02506224189092466,0.020249335445799585
12,2020-02-28T00:00:00Z,0.3482476304509596,0.3395542180181342,0.008693412432825398,0.01999680871367734,0.03915498502938469,0.02957589687153102
13,2020-03-06T00:00:00Z,0.3131611666840554,0.32606791913745925,-0.012906752453403836,0.013797443540499237,0.02602988671384705,0.019913665127173144
14,2020-03-13T00:00:00Z,0.372484162269132,0.3531600053570857,0.01932415691204631,0.018066083148619957,0.017543132695601663,0.01780460792211081
15,2020-03-20T00:00:00Z,0.31764666990347684,0.2950616248103718,0.02258504509310505,0.02716314978050305,0.04081003916723172,0.033986594473867385
16,2020-03-27T00:00:00Z,0.3387066479300707,0.32297925966131424,0.01572738826875647,0.04190047951150311,0.03563012179275485,0.03876530065212898
17,2020-04-03T00:00:00Z,0.354648834233246,0.34141956030386694,0.01322927392937906,0.026978543366878143,0.02658041136573758,0.026779477366307862
18,2020-04-08T00:00:00Z,0.302223576511627,0.3077270324109461,-0.00550345589931911,0.0232575499518423,0.006402005319184057,0.014829777635513177
19,2020-04-17T00:00:00Z,0.3375872996263142,0.35256052234380164,-0.014973222717487467,0.02054715264838351,0.01648360826744892,0.018515380457916217
20,2020-04-24T00:00:00Z,0.3344298207060273,0.35676980121472684,-0.022339980508699564,0.04661981594123211,0.04016988416236467,0.04339485005179839
21,2020-05-01T00:00:00Z,0.32694093220856446,0.3625329579425855,-0.03559202573402104,0.03563063045562862,0.027448345871738934,0.03153948816368378
22,2020-05-07T00:00:00Z,0.35773658595475294,0.3414670700965164,0.01626951585823655,0.0283310795740678,0.01387278997610218,0.02110193477508499
23,2020-05-15T00:00:00Z,0.3325791865709946,0.3255931037592989,0.006986082811695715,0.02501845642432424,0.033948084048518415,0.029483270236421326
24,2020-05-20T00:00:00Z,0.33649571303887005,0.35296395301946104,-0.016468239980590993,0.02735861198742554,0.013110050102667524,0.02023433104504653
25,2020-05-29T00:00:00Z,0.35152662349200636,0.34986687791424825,0.0016597455777581094,0.03400344824419892,0.02008557212995948,0.0270445101870792
26,2020-06-04T00:00:00Z,0.33492617514803796,0.296032577636615,0.03889359751142296,0.02439771349217159,0.022910629398168493,0.02365417144517004
27,2020-06-12T00:00:00Z,0.3432099056864496,0.30421963414584924,0.03899027154060036,0.026601617217267615,0.04461636230177769,0.035608989759522654
28,2020-06-19T00:00:00Z,0.3529737454714593,0.33710493796246876,0.015868807508990557,0.026352725459648733,0.02598853362650649,0.02617062954307761
29,2020-06-26T00:00:00Z,0.3236564687191799,0.30500695586904636,0.018649512850133554,0.021272335592027278,0.019855824356734702,0.02056407997438099
30,2020-07-03T00:00:00Z,0.3068158065573258,0.3217316893679119,-0.01491588281058609,0.041959647331290505,0.029842217388661947,0.035900932359976226
31,2020-07-10T00:00:00Z,0.31845425129181965,0.32885918768391686,-0.01040493639209722,0.03338747628338903,0.017663091697299457,0.02552528399034424
32,2020-07-17T00:00:00Z,0.340135226853775,0.32230731423027226,0.01782791262350275,0.032995012678564806,0.013161908865691673,0.02307846077212824
33,2020-07-24T00:00:00Z,0.30892524810294797,0.0,0.0,0.04016991285064519,0.014526164810351532,0.0
34,2020-07-31T00:00:00Z,0.3227292758618076,0.0,0.0,0.010470043266533563,0.011854657779079411,0.0
35,2020-08-07T00:00:00Z,0.3428376606403341,0.0,0.0,0.024205577402590512,0.008344061698547659,0.0
36,2020-08-14T00:00:00Z,0.32295379695176285,0.0,0.0,0.025615975124825472,0.00570826888912502,0.0
37,2020-08-21T00:00:00Z,0.3208909651156759,0.0,0.0,0.01818402136142193,0.0008844017120497316,0.0
38,2020-08-28T00:00:00Z,0.3271013120791029,0.0,0.0,0.017802129577184474,0.0,0.0
39,2020-09-04T00:00:00Z,0.32334247901972824,0.0,0.0,0.009699550906588934,0.0,0.0
